Nomdel'organisation;Score
Institutdelatechnologiepourl'humain;3
3DSemantix;3
7Square;2
8XLABS;2
99andBeyond;3
A4Systems;3
AarishTechnologies;3
ABBCanada;3
Abridge;3
Academos Cybermentorat;1
Acceder;3
Accélérateurdecréationd'entreprisestechnologiques(ACET);3
AccélérateurHackingHealth ;0
Accenture;3
ACCEOSolutions;3
ACCI;3
Actito;3
ADBVentures;3
Adeptmind;3
ADNIAconseils;0
ADRIQ;3
Adviso;3
AEPONYX;0
Aerial;3
AeroportAI;0
Aerovirus Technologies Inc.;1
Aexpansion;0
AFXMedical;3
Agendrix;3
AgentHealth;3
AgileDSS;0
Agryo;0
AI.DA2.0;0
AIBees;3
Aidersonenfant.com;3
AIFactory(BanqueNationale);3
AifredHealth;3
AIGenetika;3
AIInnovationCenter-HAVAS;2
AIR(AIRedefined);0
AIR(AIRedefined);0
AirCanada(Lab);3
AIRY3D;3
AITera;3
AiyoConsultation;3
Akiri Consultants;3
Alaviva;0
AlayaCare;3
Algolux;3
Alice POS;3
Alithya;1
Alizem;1
allai;0
AllianceSanteQuebec;3
Alphinat Inc.;1
Alsago;3
AltaML;3
Altervest;1
AltimaDental;3
AltitudeSports;3
A-malgamTechnologies;1
AMF;0
Amotus(Dimonoff);3
Amplio Stratégies Inc;3
Anagraph;0
ANASENS;0
Anges.Québec;3
Apcurium;2
APNGlobal;3
Apollo13;3
Apox;3
Apprentx;3
Appwapp;1
Appyhere Canada;3
AQT;3
Aquantix;0
ArabBank;3
ARARobotique;3
Arche Innovation;0
ArgusTransport;3
ArkangelAI;3
ARPM;3
Arrivage;1
ArthurInteligence;2
Aspentech;3
Atecna;0
ATN;3
AudibleReality;0
AusencoEngineeringCanada;3
Automat;1
AWL-E;3
Axial;3
AxiomSL;3
Axionable;3
Axper;3
Axya;3
AZIMUT MEDICAL;0
Azzimov;0
B2B/2GO;1
B2BQuotes;3
Baastel;0
Bambou Space;0
BankofCanada;3
BanquededéveloppementduCanada;3
Baseline;3
Bases.AI;3
BatonSimulations;1
BCG;3
Beam Me Up;3
BeamMeUpLabs;3
BEAP;3
Beauté Star;0
BeChange;1
Beehivr Technologie Inc.;0
Behavox;3
BellaGroup;0
BellMarchésAffaires;3
Benevity;3
BentleySystems;3
Berkindale;3
Bevolta;1
BIExpertise;3
Bilinks.com;0
Binarieslid;3
BioIntelligence;0
BioITpm;1
Biolift;0
BioMindR;0
Bios;1
BioTwin;3
Bivizio Inc.;0
BizBiz Global Inc;0
BkomStudios;3
Blackrock;3
BlackwareTechnologies;3
Blaise;3
BlockchaingroupBIG;3
Blockstream;3
Bloomberg;3
Blubrim;0
Blue Communications Inc;1
Bluecity.ai;0
BMPMetalInc;3
BNPParibas;3
Boast.AI;3
BoathouseApparel;0
Bodyform3D;3
Bogus Création;3
Bombardier;2
booxi;3
BorealisAI;3
BorealisGAM;3
Botfront;3
BotlerAI;2
Botpress;3
BoursedeMontréal;0
BPCE;3
BrainBoxAI;3
BRAINIAK;3
BreatheLife;3
Breethe;3
BRIDGR;3
BRITE4;1
BrizoData;3
Broid;0
Bus.com;3
Buspatrol;0
C2RO;3
CAE;3
CAIGlobal;1
CaissededépôtetplacementduQuébec;3
CalculQuébec;3
Calixa;0
Campusdestechnologiesdelasanté;3
Canada.AI;3
CanadianInstituteofActuaries;3
Can-Exploreinc;1
CannForecast;3
Canscan;3
CanspanBMG;2
Cap.TaiM;3
CAPSolar;0
Carebook Technologies Inc;3
CargoM;3
CastellaMedical;3
Caswil;1
CBI;3
CCCA;3
CCTT;0
CCTTia;0
CDPQ;3
CDRIN;3
Cedeq Inc.;3
Cégep Édouard-Montpetit  Direction de la formation continue et du service aux entreprises(DFCSAE);3
CEIM;3
CEIMIA;3
Celliersintelligents;3
CenTech;3
Centre de Collaboration MiQro Innovation (C2MI);3
Centred’incubationetd’accélérationenmobilitéintelligenteàLaval(CIAMIL) ;3
Centred'entrepreneuriatetdevalorisationdesinnovations(CEVI) ;3
CentrederechercheCHUdeQuébec;3
CentrederechercheetdéveloppementpourladéfenseCanada(RDDC);1
Centrequébécoisd'innovationenbiotechnologie(CQIB);2
Cerence ;3
CertiMail;3
CeRVIM;3
CERVO;3
CEuMontreal;3
CFA;3
CGI;3
Chairedeleadershipenenseignement(CLE)enanalysededonnéesmassivespourl’actuariat-intact;1
ChappuisHalder;3
ChemBrains;0
CHK PLZ;0
Christie Innomed;3
ChrysaLabs;2
CHUM;3
CIBC;3
CIBLE Stratégique;1
Ciblexpert inc.;0
CIC(banqueetassurance);0
CIFAR;3
Cilex;3
CIM;3
CIMEQ;3
CIMMI;3
Cirano;3
CIRRELT;3
CIRRIS;1
CIUSS;3
Civalgo;3
ClaculCanada;3
Classcraft;3
Classo;3
ClemexTechnologies;3
ClicB2B;3
CLINIA;0
CloudRaker;0
CmLabsSimulations;3
CN;3
Cobalt Intelligence Inc.;2
CodeBoxx;0
CoencorpConsultantCorporation;3
Cofomo;3
Cogeco;3
CogilexRecherhceetdéveloppementINC.;3
CogilexRecherhceetdéveloppementINC.;3
Coginov;3
COLDCHAINSCIENCEENTERPRISES;1
Collectivei;3
Comfiz;3
Communication LCT INC;0
Comnet technologie inc;3
Compugen;3
Conatix;3
ConcordAI;3
ConfirmU;3
Connektica;3
CoNova;3
Conseildel’innovationduQuébec;2
ConsiliumCryptoAI;3
Consortium de ressources et d'expertises coopératives;0
Consortiumsanténumérique;3
Constellio;3
Consultants MELTING ICECUBE;3
Continuum Santé;3
Continuums;0
Contxtful;3
CONTXTFULTechnologies;2
CookCultureLtd;1
Cooldel;0
Co-operators;3
COPL;0
Coriandr;0
Corium;3
Corning;3
Corpobids;0
Corporation Internationale Visuelle;0
CORSTEM;1
CortAIx(ThalesDigitalFactory);2
Couche-Tard;3
Coveo;3
CRDIG;3
CRDM;3
Creaform;3
CreativeDestructionLab;3
CRIAQ;3
CRIM;3
CRIQ;3
CRISI;3
CRM;3
Croesus;3
CRSNG;3
CRVI;3
CSetAPINC;3
CTIC;0
CVTCORP;1
CWP;3
Cyberimpact;3
CyberJustice;3
CyberQuébec;-1
Cyclone Design Communications;3
Cyframe;3
DAMAS;3
Damava;0
DataDis;3
DataKettle;0
DataPerformers;3
DataScienceforReal-​TimeDecision-Making ;3
D-Box;3
dcbel-Ossiaco;3
Décathlon;3
DecisioningIT;3
Deeplite;3
Deepmind;3
DéfiMontréal;3
DelveSecurity;3
Denovogen;0
DensoLab;3
Depix;3
DESCORMIERS INTELLIGENCE D'AFFAIRES;1
Desjardins;3
DeveloppementéconomiqueCanada;3
Devlinea inc.;0
Devrun;3
DexClothing;0
DexcoCorporation;0
DiagnosIA;3
Diagram;3
Dialog Insight;0
DialogInsight;3
Dialogue;3
Digihub;2
Dispatch Science;3
Dispersa;0
DistributionPharmaplus;0
District3InnovationCenter;3
Ditch ;3
Done Technologies Inc.;3
Doptim;3
DriftTechnologicalSolutions;0
Drone Des Champs;1
Druide;3
DRW;3
DVORE;3
Dyze Design ;3
Écoledetechnologiesupérieure(ÉTS);3
ÉcoleNationaled'administrationpublique;3
Ecotuned ;0
Edgenda;3
EDIExchangeData;3
EdLive;1
Edutelly;0
EFFENCO;3
Effenti inc;0
Effigis;3
EgistixCorporation;0
EHVA;0
EISysems;0
ElementAI;3
ELI;1
EliteNeuroKinetix;2
ElligencIA;1
Elly'sTea;0
Élo Mentorat;3
EMANSO Technologies;3
EMANSOTechnologies;3
Emaww;3
Emovi;3
EnhanceEnergy;1
Enio;0
Enkidoo;0
EnkidooAI;0
Enowé Inc.;3
Entreprises Devlor inc.;0
EntrePrismHECMontréal;3
ENuvio ;1
EnvisionAI;3
Équipement off the grid inc.;0
Equisoft;3
Ericsson;3
EruditeAI;0
Espresso Communication;0
EsriCanada;3
ÉtudeSecours;0
Eugeria;3
Evey ;3
Evovest;3
Exagens;3
ExecutionLabs;0
EXFO;3
Exia;3
EXIA inc.;2
ExitList;0
Exolnet;3
Expedibox;0
Expertus;3
Expretio;3
ExtendAI;3
ExtergyAI;3
EY;3
Eyful;1
FacebookAI;3
FACTUALLY HEALTH;3
FactuallyInc.;3
FaimData;3
FamicTechnologies;3
FANSLAB;3
Fédération québécoise des coopératives de santé;3
Fednav;3
FemTherapeutics;3
FFA;0
FFWDigital;1
FIAM;3
Fiddlehead;3
FieraCapital;3
FinanceMontréal;3
FintechCadence;3
FirstAscentVentures-OTEAF;0
FISFintechAccelerator;0
Flare Systems;0
FleetComplete;3
Fleexer;3
FlexPay;3
Floe;3
Flow;0
FluentAI;3
Fluxion;3
fmcs.digital;3
FondsFTQ;3
Force.IA;3
FORPIQ;1
ForumIAQuébec;-1
FounderFuel;3
FounderInstitute;3
Freebees;1
FTEX;3
fujitsu;3
FutureEarth;3
FuturesFirst;3
FZ Ingénierie ;3
GARP;3
Gazelle;3
Genaiz;3
GenieLab;3
GeniusSolutions;3
Geolearn;3
GERAD;3
Gestion Econo PLus;0
GFI;0
Giro;3
GlobalAttributes;0
Globalia;3
GlobalRiskInstitute;3
GLYCOVAX;1
GMCCapitalManagement;0
GMtech;0
GoBeep;0
GoCo;3
goFinja;3
GoodAICapital;3
GoogleAILab;3
goRegis.com;0
GRAAL;3
Grabb Ai;0
GrayOncology;3
GrayOncologySolutions;3
Green13-IrisUK;0
GreyBoxSolutionsInc.;1
Grok;3
Groove(dbaZikera);0
Groundobs;1
Groupe DSI;3
Groupe Metalogique (Meta);2
Groupe Millenium Micro inc.;3
GroupeAzur;3
GroupeGFT;3
GroupeHorizonSanté;3
GroupRiskInstitute;3
Gsoft;3
GuaranaTechnologies;3
HackathonParis-Dauphine;3
HaleoPreventiveHealth;1
Halo Metrics;3
Hardbacon;3
Havas;3
HAXIO;3
HAYLEM;3
HDCE inc;1
Healthya;1
Hearst;3
HECMontréal;3
Hectiq.AI;3
HELIQUARKS;0
Hepius Medical Inc.;0
Hexoskin;3
Hexoskin(CarréTechnologies);3
HeyDay;3
Hippoc;3
Hiva;0
HoltAccelerator;3
HookMotion;0
Hopper;3
HoromaAI;3
HOSPITALIS;0
HSBC;3
HUAWEI|NOAH'SARKLAB;3
Hubelia;0
HumanFirst;3
HumanIA;3
Humanware;3
Hydro-Québec(IREQ);3
HydroQuébecParquet;3
iagree.AI;3
iAGroupefinancier;3
IasoGenetics;3
IBMLab;3
Icentia;3
Icentia inc.;2
IDÉA;3
IDEA Contrôle;0
Idilia;0
IEBN;2
illuxi;3
ILS Pharmaceutical;0
IMAFS Inc.;0
IMAGIA;3
IMAJ Groupe conseil inc.;0
Imarcom;0
Imeka;3
Immervision;3
In A Blink inc.;1
INAF(NUTRISS);3
InCana;1
Incloud Solutions d'Affaires;0
Index;3
INEAT;0
INÉDI: expertise et recherche en design industriel;0
InfodevElectronicDesignersInternationalInc.;3
Ingeno;3
INGSingapore;0
INIXIUM;1
Inlandsis;1
InmindTechnologies;3
Inno-Centre;3
InnodemNeurosciences;3
Innodirect;3
InnoHubLaCentrale;0
Innov2Learn;1
Innovention;3
InnovSA;3
Inov;0
INOVATEL COMMUNICATIONS INC.;0
Inovestor;3
INOVIACapital;3
inpowr;3
Institut national des mines;0
InstitutCanadiendesdérivés;3
Institutintelligenceetdonnées(IID);3
Institutnationald’optique(INO);-1
Institutnationalderecherchescientifique(INRS);3
Insum;3
Intact;3
IntegraCare;3
Intelerad;3
Intelligence Industrielle;3
Intelligence Industrielle Inc.;0
IntellisportsInc.;3
IntellogoInc.;0
Intema;0
Inven_T;3
InvestissementQuébec;3
Invicare;0
InVivoAI;3
IRMSt-JosephMRI;0
Irosoft;3
Irosoft(LexRockAI);3
IRTSt-Exupéry;3
IRYStec;3
ISENCORETechnologies;0
iSun Energy;0
IT Solutio inc.;0
ITCloud.ca;3
ITDMGroup;3
ITNX;3
IUCPQ;3
IVADO;3
IvadoLabs;3
Ivano Bioscience ;0
JACOBB;3
Jakarto;3
Jasper;0
JITbase;3
JITBASE ;3
JLRRechercheImmobiliere;2
Jumio;3
K2 Geospatial;0
Kaloom;3
Kalooom;3
Keatext;3
K-eCommerce;3
Kemira;3
KhureHealth;3
KinovaRobotics;3
Klixi;1
KoïosIntelligence;3
Konek.ai;1
Korbit.ai;3
Korem;3
KPIDigital;3
KPMG;3
KrakenLaboratories;3
Kubidez;0
La Boîte Maraîchère;1
Laboratoire de cyberjustice;3
Laboratoirederobotiquedel’UniversitéLaval;3
LaCapitale;3
LaCitéLP;3
LakeCityFoods;0
L'ALTNumériqueDesjardins;1
Landr;3
Larochelle Groupe Conseil;3
Laserax;3
Lavery;3
Le Curieux;1
le Groupe Trencadis;1
Leadeo;3
LeadFox;1
LearningBranchInc.;3
Leav;0
LeCamp;3
LeddarTech;3
Les Didacticiels GRM;0
Letmetalk;3
Lex - Votre Concepteur de Site Web;3
LexAlign;0
LFAntMedical;0
LGS,unesociétéIBM;0
Libéo;0
Lighthouse Labs;3
LinguAI;3
LinseyFoods and Alliance;0
L'Institutdestatistiquedel'UNESCO;3
LithionRecycling;3
Littératout;0
LittleAngelMedical;3
Livescale;3
LIVIA;3
LivingSafe ;0
LixrAI;3
LoanConnect;1
LoblawsGroup;3
LocalLogic;3
Locketgo;0
LogiAG;3
Logibec;3
Logiciels Ipnos;3
Logiciels Radio IP;0
LogicielsPartnerOneinc;3
LotoQuébec;3
LRTS;3
LTI;3
LuffaTechnologies;0
Lumed;3
Lux;0
LVSN;3
Lyrebird;3
LYSIR;0
MAADIGROUP;3
MachineByte;0
Macromeasures;0
Madaké;0
MagellanAviation;0
magicplan;3
MagogTechnopole;3
Maintenance Directe;0
MaisonNotman;3
MAKILA;3
Mango Software;0
Mapgears;1
marchandsdici.ca;0
Marché FoodHero;0
MarsCanada;0
Matrius Technologies;3
MatroxImaging;0
MaxaAI;3
MAYA HTT;3
MayaHeatTransferTechnologies;3
Mazaam Interactive Inc.;3
McGillDobsonCentreforEntrepreneurship;3
McGillStLaurent-CWP;1
Mecademic;3
Mecademic ;-1
Mechasys;0
MedOClock - L'application pour aidants;3
MedTeq;0
Medvalgo;3
Medyx;0
MËKANIC - Recherche et Technologie Inc.;-1
Meliore;1
Mely.ai;3
MemriTech;1
Menya/Levio;3
MenyaSolutions;3
Merinio;3
Metalogique;2
MétéoGlobale inc.;2
MicroLogic;3
MicroPredictome;0
Microsoft;3
Mila;3
MILLOGICIEL;2
MIMS;3
Mindinabox;3
MindMentalHealth(mind.me);3
Ministèredel'économieetdel'éducation;3
Mirametrix;3
Mirego;3
Mitacs;3
Mixonset;0
MLDB.ai;3
MNP;3
mnubo;0
Mobilus Technologies;0
Moka;3
MomentumTechnologies;3
MONDATA;1
MonetaryAuthorityofSingapore;3
Monkiri;3
Montreal.IA;3
MontrealAIEthicsInstitute;3
MontréalInternational;3
Moody'sAnalytics;3
Moov AI;3
MoovAI;3
MorganStanley;3
Motorleaf;0
MPB Communications Inc.;3
mPhase;3
MPO Entreprises Educatives Inc.;0
MPresta;0
MrYoung;0
MSI;3
MTLab;3
MTLConnect;3
MTLNewtech;3
MusashiCanada;0
MUUTAA;3
MVPanda applications informatiques inc.;0
Myelin;3
MyelinSolutions;3
MyIntelligentMachines;3
MySmartJourney;0
NALResources;3
Nanomonx inc.;0
NationalBank;3
NatixisInvestment;3
NebulaAI;3
Nectar;3
Nectar ;-1
NectarTechnologies;-1
NemesisIntelligence;3
Neoledge;3
NestingSafe;0
Netlift;3
Netur;0
Neural DRIVE;3
Neuraura ;3
Neuraxio;3
NeuroServo;1
Neurotracker;3
Neuvoo;3
Newtrax;3
Nexio;3
NextAI;3
Nexus Innovations Inc.;3
nGUVU;3
Ninpo Inc.;1
Niosense;3
NitrexMetalInc.;3
Nodily;0
NOOSTechnologies;3
NorthernTrust;3
NorthScientific;0
NortonRoseFullbright;3
Nosotech;3
NothingArtificial;3
NotioTechnologies;3
NotosTechnologies;3
Novatris(Biome);0
Novika;3
NOVIPRO;3
Novisto;3
NPLCanada;1
nplex;1
nsemble.ai;0
NSERC-CRSNG;3
NSimTechnologie;3
NsteinTechnologies;0
Nuance;3
Nuecho;3
NuEnergy;0
NulogyCorporation;3
Numana;3
NURAMedical;0
Nybsys;3
Nytilus ;0
OBVIA;3
OctHuber;1
ODSMedical;3
OECGroup;1
OKIOK;3
OLIGO MEDIC;1
OmniaAI(Deloitte);3
Omnirobotic;0
OneHealth;3
OnRègle.com;3
OpenDoor;0
OpenDoor.Store;0
Openmind Technologies Inc.;3
OpenRoboethics;3
OppimiGroup;3
OpportuneTherapeutics;3
Oproma Inc.;3
Opslock;0
OPTECH;3
OPTEL;3
OptinaDiagnostics;3
Optosecurity(Vandermande);3
Ora Médical ;0
Oracle;3
Orckestra Technologies Inc.;3
ORISO;3
Osedea;3
OSFGlobalServices;3
Ossiaco;3
Ossibus Novum;1
OssiclesTechnologies;0
ouutu;0
OVA;3
OVENSA;1
OverbondAI;3
OVHcloud;3
PacificWestCommercialCorporation;0
PaladinAI;3
PamTen;3
PanacheVentures;3
pardeux e-learning/gamification;0
PARICNRC;3
Patsnap;3
Paysend;3
PemPem;3
Perceiv.ai;3
PerceivAI;3
PerfIQt;1
Perigen;3
PetalMD;3
PetroAI;3
Pharmascience;1
Pharonyx Technologies;1
PharonyxTechnologies ;-1
Photonetc;3
Phyla;2
PIA;3
Pictet;3
Piecemeal;3
Pillar Science;1
Pipemind;0
Pitstop;0
Plakk;3
Plant-eCorp;1
PlentyApparel;0
Plotly;3
PodiumTechnologies;0
Poitras;1
Polymonde;3
PolytechniqueMontréal;3
Pomelo;1
PortdeMontréal;3
Pow.Re;3
POWERTREE;0
Pradel Consulting;0
Prehos;3
PresagisCanada;3
Preteckt;3
Prevu3D;3
PrimefundInvestment;3
Prisme Technologies Inc;0
Probuccal inc.;0
Procol Inc.;0
Prodago;3
ProductiqueQuébec;3
ProduitsKruger;3
Progi;3
Projex Media;0
Prologue AI;3
PromptIA;3
PropulseAnalytics;0
PropulsionQuebec;3
Propulsoft Inc.;0
ProximityHCI;0
PULSAR;3
Purdy's;3
PURE innovation;0
Puzzle Medical Devices;1
PwC;3
QOHASH;3
Qualicode Logiciel;1
Quantisweb;3
Quantolio;3
QuantumBlack;3
QuestMedia;0
Quidd inc;1
Quinditech;3
QuoteMachine;3
Quovim C3;3
Radio-Canada;1
RailVision;3
RailVisionAnalytics;3
RakutenReady;3
RALI;3
RaymondChabotGrantThorntonLLP;3
Ray-Mont;0
RE-AK ;3
Realventures;3
ReasoningandLearningLab;3
RecharjME;3
Récompenses Flipit;0
reelyActive;3
ReflectionAI;3
RegtechCanada;0
Remedium;0
ReMI(Ultra);3
RenoRun;0
REPARTI;3
ReutersEikon;3
RevenuQuébec;3
Rexall;0
Rexys Inc.;3
RGA;0
Rhetorik;3
Rithmik;3
RithmikSolutions;3
RivoliFundManagement;0
Rivvi;3
Robotel;3
RockenTechnologies;0
Roof.ai;3
RTAAssociates;1
Rubikloud;3
S&Pcanada;3
Saccade Analytics;3
SaccadeAnalytics;1
Salesfloor;3
Sama;3
SamaSource;3
Samsung(SAITAILab);3
SAND;0
SantéLibre;0
SAS;3
SayAllo;3
SbxTechnologies;0
ScaleAI;3
ScopServ International Inc.;1
Scotiabank;3
ScribensProject;0
SeedAI;1
semanti.ca;0
Semanttica;0
Semeon Analytics;3
SEMEON ANALYTIQUE INC;0
SemeonAnalytics;3
Sensata;3
SENSE;3
SenseAI;0
SentinelleNord;3
Sentometrics;3
SeraiTrade;3
ServiceNow;3
Services Makila inc.;3
Servier;3
SERVO-ROBOT;3
SGInnovateSingapore;3
ShaddariTherapeutics;3
Shapeshift 3D;3
Shapeshift3D;3
ShenkerCanada;3
Sherweb Inc.;0
Shoofping;0
SiemensCanada;3
Silentale;3
Silverbolt;0
Simforhealth;0
SimmunomeAI;2
Simthetiq;3
Simu-K simulation et ingénierie;1
SimWellConsuting&Technologies;3
SiteBrand;3
Skema;3
Skullscan;3
SkullscanTechnologies;3
SmartDTechnologies;1
SmartPixel;0
SmartyfAI;3
SNCLavalin;3
Société des arts technologiques;3
SociétéGénérale;3
SodanConseillersTI;3
Sofdeskinc.;3
Softmoc;0
Solid State of Mind ;3
SOLIDLY Health;0
SolidStateofMind;3
Sollum;2
Solutions B-CITI inc.;3
Solutions Informatiques LOGICWARE;3
Solutions Notarius inc.;3
Solutions SmartUse inc.;0
Solutions Techso inc.;3
SolutionsD-teckinc.;0
SolutionTechnologies;2
Sonoscope;1
SourceKnowledge;0
SpacefileInternationalCorp;3
SPARKMicrosystems;3
Speakylink;0
SPIBio;0
Spockee;0
Sportlogiq;3
SpotEv;2
SQALogic;0
SquarePoint;3
sr-ai.co;3
SSE Carte à Puce Inc.;0
Ssense;3
SSQAssurance;3
StampedTechnologies;3
StateraMedical ;0
StockholmSyndrome.AI;3
StradigiAI;3
Stratuscent;3
StreamlineGenomics;2
StreamSystems;3
StrongBoxDataSolutions;3
Studyo;3
STYL&TECH Inc.;3
Succès Scolaire;3
SuccessFinder;0
Sunlife;3
Suntaeg;3
SuperiorPropone;3
SurveyMonkeyApply;1
Swapcard;3
SweetData.io;3
SynapseC;2
Synchronex;3
SYNTELL;2
Système photos et vidéos KoolReplay Inc.;0
Systèmes Siama Inc.;0
TackVerification;-1
TactioHealthGroup;3
TalemHealthAnalytics;2
TALSOM;3
TandemLaunch;3
Tastet;3
TD;3
Tech3Lab;3
Technocompetences;3
TECHNOCompétences;-1
TechnoLibre;0
Technologies Quantisweb Inc/Quantisweb Technologies Inc;0
Technologies RE-AK Inc.;3
Techstars;3
Télétravail Académie Inc.;0
TELUSSanté;3
Tengiva ;0
Termont;3
TetraTech;3
Thales Digital Solutions;2
Thales(revoirfactoryAI);0
Thaliesium;3
TheGreenLink;1
Therappx;1
Thingsfactory;0
ThinkLikeaMachine;3
Thirdbridge;0
TickSmith;3
Timechain;0
TMX;3
Tokidos;0
Ton Équipier;-1
Tonequipier;3
TOOLY;0
Tootelo;3
TOTE ;1
Toucan Solutions;3
Toumoro;3
TowersWatson;3
TradingScreen;3
TransCanadaCapital;1
TransMountain;3
TRAQC;0
Traxxall;3
Treliant;3
TrimacTransportations;3
Trisotech;3
TroisPrimeInc.;3
truba.news;0
TruePositiveMedicalDevices;3
TrueValueLab;3
Truxweb ;0
TRYKX Expérience Inc.;0
Turbodega;0
Tylio;0
Ubenwa;3
UbenwaHealth;3
UbisoftQuébec;3
UEAT;3
Umaneo;3
Unity;3
UniversitéConcordia;3
UniversitédeMontréal;3
UniversitédeSherbrooke;3
UniversitéduQuébecàMontréal;3
UniversitéduQuébecàTrois-Rivières;3
UniversitéLaval;3
UniversitéMcGill;3
UniversitéTÉLUQ;3
UNRYO;3
UpField ;3
UpscaleTechnology ;0
UtopiaImage;2
uxpertise;0
Valence;3
Valence(formerlyInVivoAI);3
ValenceDiscovery;3
VALERIA;1
Valital Technologies;3
ValitalTechnologies;3
Vectis Drive;0
Vention;3
Veriphi;1
VerosoftDesign;3
Vhrtech.ai;3
VIA;3
VidensAnalytics;3
VilledeMontréal;3
VirtualArtifacts;2
VirtualRehab;3
Visao;0
Visual Knowledge Share;3
VitalTracer;0
VlyyAIInc.;0
Voilà!;3
Vooban;3
Votie Solutions Inc.;1
vowsmith;0
Voxedia;0
Vumetric Cybersecurity Inc.;3
VuPointSystems;0
VyoO;3
Warp;1
Wastack;3
WasteRobotics;3
Wavo.me;3
WeChalet;3
WEGOTRADE;3
WhaleSeeker;3
WinningMinds;0
WiskAI;3
Workflowgen;3
Workland;3
WorthitLabs;0
Worximity Technologies Inc.;3
wrnchAI;3
WYSIWYG;3
Xpedigo;1
XpertSea;3
XtractAI;3
YPC Technologies;3
YPCTechnologies;3
Zelros;3
Zenika Conseil;1
ZestyAI;3
ZetaneSystemsInc.;0
Zilia;3
ZoneAgtech;3
Neuligent;3
9371-8963 Québec (Gedesys);3
9395-7199 Québec (Livia);0
Airudi;3
Applications mobiles Overview;3
Arctus;3
AtmanCo;3
BlueBear LES;3
Dilygence Apps;3
EasyPatternZ Incorporated;0
Société Enkidoo Technologies;2
Gestion Capital CDL;3
Groupe Elucidia;1
Groupe OCF;1
Immune Biosolutions;2
Impressview;0
Index Web Marketing;3
Technologies Kaira;2
Technologies Korbit;3
Laboratoires Biron;3
Local Logique / Entreprise Nexmoov;3
MoreIdeas;0
OSÉDÉA;-1
Productions Back to the Game;3
Recherches dimensionnelles Canada;3
Services Makila;3
Société pour l’informatique industrielle SII;3
Solutions Anagraph;2
Solutions M2Océan;0
Spectronix;0
Tack Vérification;3
TechnologiesD-BOX;3
Technologies Hop-Child;3
Umanéo Technologies;-1
Vaolo;3
Acquisition Podform 3D;3
Aquantix Financière;0
Blaise Transit;3
Bluecity;3
Solutions CognitiveChem;0
CRZUS Technologie Financière;0
Empego Technologies;0
Hyuman recrutement;0
Solution Nexam;1
Solutions Behav;3
Technologie XeoHive;3
Les Technologies Sponteous;3
Agri-Fusion;0
Agrisoft;3
IRDA;3
Matagora;0
Technologies Aarish;3
Valacta;3
Cyclenium Pharma;3
Modélis;3
MONOGENIC Pharmaceutiques;1
ABM Enviro;0
Instadesign Tec;0
C2T3;2
Clinique GO;3
Soins Gabrielle;0
Audace Technologies;0
OpDAQ Systèmes;1
Hatch;3
Carebook Technologies Eve Technologies;3
Progranova;3
Dévicom;3
E-SMART Contrôle;1
Royale Innovation Group;0
IPtoki;3
Semiosis interactive;0
Koïos Intelligence;-1
Agence Wittycloud;0
Objectif Lune;3
LTDL;1
Nuvoola;3
Concept B;0
DalCor Pharmaceutiques;1
STENT;3
SYSTRA Canada;3
Les solutions Axceta;3
Rockwell Collins Canada;3
Carillon;0
Groupe RHEA;3
La Société Dataperformers;3
Elekta;3
Oncopole;3
Kinduct;3
TÉLUQ;3
IHU Strasbourg;3
Les systèmes médicaux Intelerad;3
Intellident Dentaire;3
iMD Research;3
Institut universitaire en santé mentale Douglas;3
MAADI Group;3
Centre de métallurgie du Québec;3
Medicago R&D;3
PMA;0
Solutions Strateolab;0
Hôpital Maisonneuve-Rosemont;3
True North Marine;3
GMR Safety;3
Iregular;3
Logistiques Kemira;3
Centre de technologie physique et photonique de Montréal;3
Centre des technologies de l’eau;-1
Administration de pilotage des Laurentides;3
Société de développement économique du Saint-Laurent;3
Innovation maritime;3
AIR(AIRedefined);0
AIView;3
Artelys;3
Bolero AI;3
CIDCO;3
Explorai;3
FPT Software;3
Funartech;3
Gradient Ascent;3
Groupe Neos;3
INO;3
Keyrus Canada;3
LynX Inspection;1
Maverick Analytik;3
MindGradient Systems;3
Necando;3
Numea;3
Nurun;3
NVIDIA;3
OCF Group;3
Quantum Black;3
R2i;3
Root Intelligence;0
SIA Partners;3
Sphere AI;3
Statlog;3
Stratemia;1
Talan (Planaxis);3
AgmanicVisionInc.;3
DataScienceInstitute(DSI);0
;-1
